Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
random_forest,0.9961064243997404,0.999553770638108,0.9898365002209456,0.9946714031971581,0.9998022193794877
gradient_boosting,0.9965931213497728,0.9964570416297609,0.9942554131683606,0.9953550099535501,0.9987697048571681
logistic_regression,0.9967553536664504,0.9973392461197339,0.993813521873619,0.9955732625055335,0.9988419752099097
